code,section__exercise_set__slug,section__number,number,question_type,context_note,stem_jp,star_position,correct_order,explanation_vi
lt-m1-q01,luyen-tap,1,1,mcq_blank,,これは私が父に____時計です。,,,
lt-m1-q02,luyen-tap,1,2,mcq_blank,,友達に誕生日のプレゼントを____つもりです。,,,
lt-m1-q03,luyen-tap,1,3,mcq_blank,,すみません、疲れたので____いただけませんか。,,,
lt-m1-q04,luyen-tap,1,4,mcq_blank,,よく分からなかったので、もう一度説明して____ませんか。,,,
lt-m1-q05,luyen-tap,1,5,mcq_blank,,駅までの地図をかいて____たいんですが。,,,
lt-m1-q06,luyen-tap,1,6,mcq_blank,,お金を忘れて困っていた私に、川上さんが貸して____,,,
lt-m1-q07,luyen-tap,1,7,mcq_blank,,この荷物重いので、運ぶのを____,,,
lt-m1-q08,luyen-tap,1,8,mcq_blank,,先日お願いした本は、もう____,,,
lt-m2-q01,luyen-tap,2,1,mcq_blank,,お客様、そちらの用紙の方のご記入は____,,,
lt-m2-q02,luyen-tap,2,2,mcq_blank,,カードを____場合は、再発行の手数料がかかります。,,,
lt-m2-q03,luyen-tap,2,3,mcq_blank,,申し訳ございません。ただ今オンラインシステムの故障のため、窓口でのみ業務を____いただいております。,,,
lt-m2-q04,luyen-tap,2,4,mcq_blank,,お客様のお荷物は4日まで保管いたしますが、お申し出があればさらに、1週間延長して____,,,
lt-m2-q05,luyen-tap,2,5,mcq_blank,,もう少し広い家を探しているんですが、いいところがあったら____いただけませんか。,,,
lt-m2-q06,luyen-tap,2,6,mcq_blank,,引越しの荷造りは当社ですべていたしますが、貴重品だけはそちら様で管理____ください。,,,
lt-m2-q07,luyen-tap,2,7,mcq_blank,,今は2部屋になっておりますが、お客様のご希望に合わせて広いワンルームとしても____,,,
lt-m2-q08,luyen-tap,2,8,mcq_blank,,お引越しの方、おすみになったんですね。お手伝いに____,,,
lt-m2-q09,luyen-tap,2,9,mcq_blank,,前髪はどう____,,,
lt-m2-q10,luyen-tap,2,10,mcq_blank,,"客「このシャツのそで、汚れが落ちていなかったんですけど。」
店の人「あ、それは申し訳ございません。すぐやり直し____」",,,
lt-m2-q11,luyen-tap,2,11,mcq_blank,,再度お届けに____が、お留守のようでしたので、このまま持ち帰ります。,,,
lt-m2-q12,luyen-tap,2,12,mcq_blank,,お客様にはこのヘアスタイルが一番____と思います。,,,
lt-m2-q13,luyen-tap,2,13,mcq_blank,,婚姻届ですね、おめでとうございます。確かに受理____,,,
lt-m2-q14,luyen-tap,2,14,mcq_blank,,（ピッピーッ）10キロオーバーしてますよ。制限速度を____,,,
lt-m2-q15,luyen-tap,2,15,mcq_blank,,税金をまとめて____少しお安くなりますよ。,,,
lt-m2-q16,luyen-tap,2,16,mcq_blank,,代理の方が____場合は、委任状が必要となります。,,,
lt-m3-q01,luyen-tap,3,1,mcq_blank,,B「部長、私の父（1）。父さん、こちらがいつもお世話になっている部長のAさんです。」,,,
lt-m3-q02,luyen-tap,3,2,mcq_blank,,Bの父「はじめまして。息子が大変お世話になって（2）。」,,,
lt-m3-q03,luyen-tap,4,3,mcq_blank,,D「部長、先ほど○○会社のBさんよりお電話がありました。先日の展示会でうちの新製品を（3）興味をもたれたようで、ぜひ詳しい資料がほしいと（4）。」,,,
lt-m3-q04,luyen-tap,4,4,mcq_blank,,D「部長、先ほど○○会社のBさんよりお電話がありました。先日の展示会でうちの新製品を（3）興味をもたれたようで、ぜひ詳しい資料がほしいと（4）。」,,,
lt-m3-q05,luyen-tap,4,5,mcq_blank,,C「ああ、そう。じゃ、私が先方に直接お電話を（5）。,,,
lt-m3-q06,luyen-tap,4,6,mcq_blank,,B「早速お電話いただきまして、ありがとうございます。ではよく検討（6）後日、部長のAよりご連絡（7）。」,,,
lt-m3-q07,luyen-tap,4,7,mcq_blank,,B「早速お電話いただきまして、ありがとうございます。ではよく検討（6）後日、部長のAよりご連絡（7）。」,,,
lt-m3-q08,luyen-tap,5,8,mcq_blank,,会社の受付「A様でいらっしゃいますね。部長のCより（8）。ただ今お取り次ぎいたしますので、こちらにおかけになってお待ちくださいませ。」,,,
lt-m3-q09,luyen-tap,5,9,mcq_blank,,会社の受付「部長、A様が（9）。」,,,
lt-m3-q10,luyen-tap,5,10,mcq_blank,,C「あ、そう。じゃ、応接室の方へ（10）すぐ行くから。」,,,
bt01-q01,bai-tap-1,1,1,mcq_blank,,「中山と申しますが、木村先生、____。」,,,
bt01-q02,bai-tap-1,1,2,mcq_blank,,森田先輩、論文のことでお____したいことがあるんですが。,,,
bt01-q03,bai-tap-1,1,3,mcq_blank,,"A「山田先生、進学のことで相談したいことがあるのですが、何時までお部屋にいらっしゃいますか。」
B「今日は4時まで____。」",,,
bt01-q04,bai-tap-1,1,4,mcq_blank,,田中さんは何をお飲みに____か。,,,
bt01-q05,bai-tap-1,1,5,mcq_blank,,今からパーティーが始まります。みなさん、どうぞ最後まで____ください。,,,
bt01-q06,bai-tap-1,1,6,mcq_blank,,どうぞ遠慮なくお____ください。,,,
bt01-q07,bai-tap-1,1,7,mcq_blank,,それについては、私の方からご説明____。,,,
bt01-q08,bai-tap-1,1,8,mcq_blank,,"A「この辞書を使わせてくださいませんか。」
B「はい、____。」",,,
bt01-q09,bai-tap-1,1,9,mcq_blank,（レストランで）,"高木「6時に予約をお願いした高木ですが。」
店員「高木様ですね。お席にご案内____。どうぞこちらへ。」",,,
bt01-q10,bai-tap-1,1,10,mcq_blank,,"客「あのう、この黄色いのは何のアイスクリームですか。」
店員「パイナップルのアイスクリーム____。」",,,
bt02-q01,bai-tap-2,1,1,mcq_blank,,"A「先生、お荷物を____。」
B「ありがとう。じゃあ、よろしく。」",,,
bt02-q02,bai-tap-2,1,2,mcq_blank,,社長はいま電話に出て____ので、しばらくお待ちください。,,,
bt02-q03,bai-tap-2,1,3,mcq_blank,（食堂で）,"客「ランチセット、お願いします。」
店員「Aセットと Bセット、どちらに____。」",,,
bt02-q04,bai-tap-2,1,4,mcq_blank,,"客「子供服売り場はどこですか。」
店員「6階に____。」",,,
bt02-q05,bai-tap-2,1,5,mcq_blank,（案内文で）,「みなさんは、創立記念パーティーが5月に開かれることを____。」,,,
bt02-q06,bai-tap-2,1,6,mcq_blank,,木下先生は何時に____。,,,
bt02-q07,bai-tap-2,1,7,mcq_blank,,この辞書はわたしが先生に____。,,,
bt02-q08,bai-tap-2,1,8,mcq_blank,,何か意見がある方は____ください。,,,
bt02-q09,bai-tap-2,1,9,mcq_blank,（メールで）,山口さん、コーヒーカップのプレゼントをありがとうございました。大切に____。,,,
bt02-q10,bai-tap-2,1,10,mcq_blank,,木村さんが書いた絵を____か。,,,
bt03-q01,bai-tap-3,1,1,ordering,,建物の前に____ ____ __★__ ____いたします。,3,1234,
bt03-q02,bai-tap-3,1,2,ordering,,5階にいらっしゃる____ ____ __★__ ____ください。,3,4321,
bt03-q03,bai-tap-3,1,3,ordering,,水野さん、中村先生がお書き____ ____ __★__ ____なりましたか。,3,4123,
bt03-q04,bai-tap-3,1,4,ordering,,荷物は私が____ ____ __★__ ____いたします。,3,2413,
bt03-q05,bai-tap-3,1,5,ordering,,ちょっとお聞き____ ____ __★__ ____が、この辺に本屋はありませんか。,3,2134,
bt03-q06,bai-tap-3,1,6,ordering,（受付で）,"中山「すみません。予約をした中山ですが。」
受付「はい、中山さんですね。もうすぐお呼びしますから、そちらの____ ____ __★__ ____ください。」",3,3142,
bt03-q07,bai-tap-3,1,7,ordering,（店の案内文で）,お探しの商品が____ ____ __★__ ____ください。,3,4132,
bt03-q08,bai-tap-3,1,8,ordering,,明日見学に行かれる方は、8時____ ____ __★__ ____ください。,3,4312,
bt03-q09,bai-tap-3,1,9,ordering,（電話で）,"A「すみません。____ ____ __★__ ____ことがあるのですが。」
B「はい。どんなことでしょうか。」",3,4312,
bt03-q10,bai-tap-3,1,10,ordering,,"山田「ハンナさんは今回はじめて____ ____ __★__ ____ですか。」
ハンナ「いえ、以前にも来たことがあります。」",3,1324,
bt04-q01,bai-tap-4,1,1,mcq_blank,,ケーキは息子のスクールのイベントから帰ってきてから家族全員で____ました。,,,
bt04-q02,bai-tap-4,1,2,mcq_blank,,ご登録いただいた皆様、宣伝活動をして____プロデューサーの皆様ありがとうございます。,,,
bt04-q03,bai-tap-4,1,3,mcq_blank,,あつかましいお願い恐縮ですが、貴サイトのリンクと掲載写真の転載をご許可____。,,,
bt04-q04,bai-tap-4,1,4,mcq_blank,,当時お作りになった明太子は、冷蔵庫で5日間熟成して____必要がございます。,,,
bt04-q05,bai-tap-4,1,5,mcq_blank,,今後、このようなことが二度と起こらないように再発防止に努めて____。,,,
bt04-q06,bai-tap-4,1,6,mcq_blank,,午前事務所に____よろしいでしょうか。,,,
bt04-q07,bai-tap-4,1,7,mcq_blank,,____作品は、ご自分でお作りになった未発表の作品に限ります。,,,
bt04-q08,bai-tap-4,1,8,mcq_blank,,今日は先生に____ということで、実家で子どものころの絵を探してきました。,,,
bt04-q09,bai-tap-4,1,9,mcq_blank,,以前に____病院にメールで面接応募をしましたが、返信がありません。,,,
bt04-q10,bai-tap-4,1,10,mcq_blank,,代表者は、利用日当日のご予約時間までに会議室の受付へ____ください。,,,
bt04-q11,bai-tap-4,1,11,mcq_blank,,先日____情報に基づき、オンライン登録を済ませました。,,,
bt04-q12,bai-tap-4,1,12,mcq_blank,,____ことはわかりますが、それは無理だと思います。,,,
bt04-q13,bai-tap-4,1,13,mcq_blank,,Aホテルの会員様だけがご参加いただけるイベント・セミナーをご案内____。,,,
bt04-q14,bai-tap-4,1,14,mcq_blank,,基本的に、ご自身が____作品の展示となりますが、ご家族の作品は一緒に展示可能とします。,,,
bt04-q15,bai-tap-4,1,15,mcq_blank,,「主張レッスン」も行っております。経験をつんだ専門講師が直接ご自宅まで____。,,,
bt05-q01,bai-tap-5,1,1,ordering,,おかけになった電話番号は現在使われておりません。恐れ入りますが、____ ____ __★__ ____ください。,3,4321,
bt05-q02,bai-tap-5,1,2,ordering,,さあ、私のこの指____ ____ __★__ ____、すてきな声で歌ってくださいね。,3,1423,
bt05-q03,bai-tap-5,1,3,ordering,,この町には____ ____ __★__ ____所はありません。,3,1243,
bt05-q04,bai-tap-5,1,4,ordering,,山田社長は会話術にも____ ____ __★__ ____きっと成功なさると予感しています。,3,3214,
bt05-q05,bai-tap-5,1,5,ordering,,味はもちろん、焼き方にもこだわったパンは、お客様に____ ____ __★__ ____、焼きたてのパンをご利用しております。,3,2413,
bt05-q06,bai-tap-5,1,6,ordering,,20時以降のご来店の場合はフリードリンクは22時ラストオーダー、____ ____ __★__ ____。,3,4321,
bt05-q07,bai-tap-5,1,7,ordering,,お約束の時刻にロビーにご集合ください。次のホテルで他の____ ____ __★__ ____、時間厳守でお願いいたします。,3,3412,
bt05-q08,bai-tap-5,1,8,ordering,,引き続き____ __★__ ____ ____、こちらのページで報告させていただきます。,2,1432,
bt05-q09,bai-tap-5,1,9,ordering,,エラーが検出された場合、内部温度が下がるまではロボットの使用が____ ____ __★__ ____。,3,4132,
bt05-q10,bai-tap-5,1,10,ordering,,この学校で使っている貸出カードはとても興味深く、____ ____ __★__ ____ところ、破ったり無くしたりした場合はその金額を弁償させるようにしているそうです。,3,2134,
bt05-q11,bai-tap-5,1,11,ordering,,この夏こそ、ファンをはじめ、____ ____ __★__ ____みせます。,3,4132,
bt05-q12,bai-tap-5,1,12,ordering,,当社の業務で興味を____ ____ __★__ ____ください。,3,1243,
bt05-q13,bai-tap-5,1,13,ordering,,皆さまのあたたかいご支援に感謝を申し上げると共に、____ ____ __★__ ____。,3,2431,
bt05-q14,bai-tap-5,1,14,ordering,,みなさん、____ ____ __★__ ____心のこもった食事はとてもうれしいと思います。,3,2143,
bt05-q15,bai-tap-5,1,15,ordering,,顧問の岡本先生に____ ____ __★__ ____おり、来年2月の音楽会まで活動を続けるとのこと、これも驚きました。,3,4321,
bt06-q01,bai-tap-6,1,1,mcq_blank,,山田さんは新人だから、そばで見て____くれ。,,,
bt06-q02,bai-tap-6,1,2,mcq_blank,,おい、君。会議室での喫煙はやめて____。,,,
bt06-q03,bai-tap-6,1,3,mcq_blank,,すみません、この字の読み方を教えて____ませんか。,,,
bt06-q04,bai-tap-6,1,4,mcq_blank,,"えっ、パンフレットがないんですか？
じゃあ、鈴木さんが持っていますから、鈴木さんに見せて____ください。",,,
bt06-q05,bai-tap-6,1,5,mcq_blank,,最近は、若い人にもっと起業して____と、大学の授業で起業に関する科目が増えてきている。,,,
bt06-q06,bai-tap-6,1,6,mcq_blank,,すまないが、息子に数学を教えて____くれないか。,,,
bt06-q07,bai-tap-6,1,7,ordering,,運動会でお子様が頑張っている____ ____ __★__ ____ください。,3,2413,
bt06-q08,bai-tap-6,1,8,ordering,,教えたいけど、他の____ ____ __★__ ____？今忙しいんだ。,3,4132,
bt06-q09,bai-tap-6,1,9,ordering,,テレビ局を____ ____ __★__ ____ませんか。,3,4132,
bt06-q10,bai-tap-6,1,10,ordering,,せっかくの海外旅行なんだから、____ ____ __★__ ____くれよ。,3,2341,
bt07-q01,bai-tap-7,1,1,mcq_blank,,お客様から必要な範囲の個人情報を収集させていただきます。予めご____ください。,,,
bt07-q02,bai-tap-7,1,2,mcq_blank,,差し支えなければ先生にお目に____と存じます。,,,
bt07-q03,bai-tap-7,1,3,mcq_blank,,打ち合わせの日程調整の件につきまして、ご返事くださいますようお願い____。,,,
bt07-q04,bai-tap-7,1,4,mcq_blank,,いつも先生のご指導を____、ありがとうございます。,,,
bt07-q05,bai-tap-7,1,5,mcq_blank,,お買い求めの商品は在庫状況により出荷延期の場合が____。,,,
bt07-q06,bai-tap-7,1,6,mcq_blank,,犯罪集団から取り上げたぞうぶつの真偽をお見定め____。,,,
bt07-q07,bai-tap-7,1,7,mcq_blank,,____学に入学希望です。お手数ですが、審査用フォームを送っていただけないでしょうか。,,,
bt07-q08,bai-tap-7,1,8,mcq_blank,,先生から____借した専門の辞典、明日先生の研究室に返却に伺います。,,,
bt07-q09,bai-tap-7,1,9,mcq_blank,,こちらはベルギーのチョコレートです。どうぞ____ください。,,,
bt07-q10,bai-tap-7,1,10,mcq_blank,,得意先の部長が____。,,,
bt08-q01,bai-tap-8,1,1,mcq_blank,,微力ながら課長をお手助け____。,,,
bt08-q02,bai-tap-8,1,2,mcq_blank,,あのドレスを____いらっしゃる方はどなたですか。,,,
bt08-q03,bai-tap-8,1,3,mcq_blank,,わざわざここまでお越しいただき、ご説明を____、恐縮です。,,,
bt08-q04,bai-tap-8,1,4,mcq_blank,,社長がご愛読になる本の名前をお教え____。,,,
bt08-q05,bai-tap-8,1,5,mcq_blank,,部長は服のセンスもよくて____ね。,,,
bt08-q06,bai-tap-8,1,6,ordering,,安全のため、お客様のお荷物は____ ____ __★__ ____おります。,3,2341,
