name,name_ja,slug,icon_emoji,description
"Chào hỏi – danh thiếp","挨拶・名刺交換","chao-hoi-danh-thiep","🤝","Gặp gỡ lần đầu, trao đổi danh thiếp, giới thiệu công ty."
"Kính ngữ","敬語","kinh-ngu","🙇","Tôn kính ngữ, khiêm nhường ngữ, cách nói lịch sự trong công việc."
"Họp hành","会議・打合せ","hop-hanh","🗣️","Điều hành cuộc họp, nêu ý kiến, chốt kết luận."
"Điện thoại","電話応対","dien-thoai","☎️","Nhận và gọi điện, chuyển máy, nhắn lại lời."
"Email và văn bản","メール・ビジネス文書","email-van-ban","✉️","Mẫu câu mở đầu, kết thư, văn bản nội bộ."
"Báo cáo – liên lạc – bàn bạc","報告・連絡・相談","ho-ren-so","📝","報連相 — nền tảng giao tiếp trong công ty Nhật."
"Bán hàng và đàm phán","営業・商談","ban-hang-dam-phan","📈","Chào hàng, thương lượng giá, chốt đơn."
"Đặt hàng và giao nhận","受発注・納品","dat-hang-giao-nhan","📦","Đơn hàng, tiến độ giao, xử lý thiếu hàng."
"Kế toán và tài chính","経理・財務","ke-toan-tai-chinh","💴","Hoá đơn, thanh toán, quyết toán, ngân sách."
"Nhân sự và tuyển dụng","人事・採用","nhan-su-tuyen-dung","👥","Tuyển dụng, hợp đồng lao động, đánh giá, nghỉ phép."
"Sản xuất và hiện trường","生産・製造現場","san-xuat-hien-truong","🏭","Dây chuyền, tiến độ, an toàn lao động."
"Quản lý chất lượng","品質管理","quan-ly-chat-luong","🔍","Kiểm tra, lỗi sản phẩm, cải tiến, 5S."
"Xin lỗi và xử lý khiếu nại","謝罪・クレーム対応","xin-loi-khieu-nai","🙏","Nhận lỗi, giải thích nguyên nhân, đề xuất khắc phục."
"Công tác và đi lại","出張・移動","cong-tac-di-lai","🚄","Đặt vé, khách sạn, lịch trình, thanh toán công tác phí."
"Hợp đồng và pháp vụ","契約・法務","hop-dong-phap-vu","📜","Điều khoản, ký kết, gia hạn, huỷ hợp đồng."
"IT và hệ thống","IT・システム","it-he-thong","💻","Hệ thống nội bộ, sự cố, bảo mật thông tin."
