question__code,position,text_jp,is_correct
lt-m1-q01,1,もらった,true
lt-m1-q01,2,くれた,false
lt-m1-q02,1,あげる,true
lt-m1-q02,2,くれる,false
lt-m1-q03,1,休んで,false
lt-m1-q03,2,休ませて,true
lt-m1-q04,1,もらえ,true
lt-m1-q04,2,あげ,false
lt-m1-q05,1,くれ,false
lt-m1-q05,2,もらい,true
lt-m1-q06,1,いただきました,false
lt-m1-q06,2,くださいました,true
lt-m1-q06,3,さしあげました,false
lt-m1-q07,1,手伝ってもらえませんか,true
lt-m1-q07,2,手伝わせてくれませんか,false
lt-m1-q07,3,手伝わせてもらいませんか,false
lt-m1-q08,1,送らせてさしあげたんでしょうか,false
lt-m1-q08,2,送らせてくださったんでしょうか,false
lt-m1-q08,3,送っていただいたんでしょうか,true
lt-m2-q01,1,おすみでしょうか,true
lt-m2-q01,2,おすみされましたか,false
lt-m2-q02,1,なくなられた,false
lt-m2-q02,2,なくされた,true
lt-m2-q03,1,行って,false
lt-m2-q03,2,行わせて,true
lt-m2-q04,1,お預かりいたします,true
lt-m2-q04,2,お預かりになれます,false
lt-m2-q05,1,見せて,true
lt-m2-q05,2,お見せして,false
lt-m2-q06,1,させて,false
lt-m2-q06,2,なさって,true
lt-m2-q07,1,お使いいただきます,false
lt-m2-q07,2,お使いになれます,true
lt-m2-q08,1,うかがいたかったんですが,true
lt-m2-q08,2,いらっしゃりたかったんですが,false
lt-m2-q09,1,されますか,true
lt-m2-q09,2,なられますか,false
lt-m2-q10,1,さしあげます,false
lt-m2-q10,2,いたします,true
lt-m2-q11,1,うかがいました,true
lt-m2-q11,2,まいられました,false
lt-m2-q12,1,お似合いされる,false
lt-m2-q12,2,お似合いだ,true
lt-m2-q13,1,させました,false
lt-m2-q13,2,いたしました,true
lt-m2-q14,1,守ってください,true
lt-m2-q14,2,お守りしてください,false
lt-m2-q15,1,お払いされると,false
lt-m2-q15,2,お払いになると,true
lt-m2-q16,1,来られる,true
lt-m2-q16,2,来させる,false
lt-m3-q01,1,です,true
lt-m3-q01,2,でいらっしゃいます,false
lt-m3-q02,1,おられます,false
lt-m3-q02,2,おります,true
lt-m3-q03,1,拝見なさって,false
lt-m3-q03,2,ご覧になって,true
lt-m3-q04,1,おっしゃっていました,true
lt-m3-q04,2,申しておりました,false
lt-m3-q05,1,いただこう,false
lt-m3-q05,2,さしあげよう,true
lt-m3-q06,1,しまして,true
lt-m3-q06,2,なさって,false
lt-m3-q07,1,いただきます,false
lt-m3-q07,2,いたします,true
lt-m3-q08,1,聞いていらっしゃいます,false
lt-m3-q08,2,うかがっております,true
lt-m3-q09,1,まいりました,false
lt-m3-q09,2,お見えになりました,true
lt-m3-q10,1,お通しして,true
lt-m3-q10,2,お通しになって,false
bt01-q01,1,ございますか,false
bt01-q01,2,おりますか,false
bt01-q01,3,いらっしゃいますか,true
bt01-q01,4,いいますか,false
bt01-q02,1,たずね,true
bt01-q02,2,たずねる,false
bt01-q02,3,たずねて,false
bt01-q02,4,たずねよう,false
bt01-q03,1,いらっしゃいます,false
bt01-q03,2,まいります,false
bt01-q03,3,います,true
bt01-q03,4,おいでになります,false
bt01-q04,1,います,false
bt01-q04,2,します,false
bt01-q04,3,あります,false
bt01-q04,4,なります,true
bt01-q05,1,お楽しみ,true
bt01-q05,2,お楽しんで,false
bt01-q05,3,楽しみになり,false
bt01-q05,4,楽しみなさり,false
bt01-q06,1,使われて,false
bt01-q06,2,使い,true
bt01-q06,3,使わせて,false
bt01-q06,4,使って,false
bt01-q07,1,です,false
bt01-q07,2,います,false
bt01-q07,3,します,true
bt01-q07,4,なります,false
bt01-q08,1,使ってくださいません,false
bt01-q08,2,使ってくださいます,false
bt01-q08,3,お使いください,true
bt01-q08,4,使わせてください,false
bt01-q09,1,いたします,true
bt01-q09,2,なさいます,false
bt01-q09,3,くださいます,false
bt01-q09,4,いただきます,false
bt01-q10,1,がございます,false
bt01-q10,2,でございます,true
bt01-q10,3,はございます,false
bt01-q10,4,もございます,false
bt02-q01,1,持ちますか,false
bt02-q01,2,持たされますか,false
bt02-q01,3,お持ちしましょうか,true
bt02-q01,4,お持ちになりますか,false
bt02-q02,1,おります,true
bt02-q02,2,なさいます,false
bt02-q02,3,されます,false
bt02-q02,4,いたします,false
bt02-q03,1,おりますか,false
bt02-q03,2,なさいますか,true
bt02-q03,3,させられますか,false
bt02-q03,4,いただきますか,false
bt02-q04,1,おります,false
bt02-q04,2,おありです,false
bt02-q04,3,いらっしゃいます,false
bt02-q04,4,ございます,true
bt02-q05,1,なさいますか,false
bt02-q05,2,ご存じですか,true
bt02-q05,3,拝見しますか,false
bt02-q05,4,お目にかかりますか,false
bt02-q06,1,帰りしましたか,false
bt02-q06,2,帰られましたか,true
bt02-q06,3,お帰りしましたか,false
bt02-q06,4,帰りになられましたか,false
bt02-q07,1,お返します,false
bt02-q07,2,お返しします,true
bt02-q07,3,お返しされます,false
bt02-q07,4,お返しになります,false
bt02-q08,1,おっしゃり,false
bt02-q08,2,おっしゃりて,false
bt02-q08,3,おっしゃって,true
bt02-q08,4,おっしゃい,false
bt02-q09,1,お使いください,false
bt02-q09,2,使ってくださいます,false
bt02-q09,3,使わせていただきます,true
bt02-q09,4,使われております,false
bt02-q10,1,おみえしました,false
bt02-q10,2,ごらんいたしました,false
bt02-q10,3,おみになりました,false
bt02-q10,4,ごらんになりました,true
bt03-q01,1,車を,false
bt03-q01,2,とめない,false
bt03-q01,3,ように,true
bt03-q01,4,お願い,false
bt03-q02,1,ご利用,false
bt03-q02,2,エレベーターを,true
bt03-q02,3,こちらの,false
bt03-q02,4,方は,false
bt03-q03,1,なった,false
bt03-q03,2,本を,true
bt03-q03,3,ご覧に,false
bt03-q03,4,に,false
bt03-q04,1,お,true
bt03-q04,2,明日の,false
bt03-q04,3,とどけ,false
bt03-q04,4,午後,false
bt03-q05,1,こと,false
bt03-q05,2,したい,false
bt03-q05,3,が,true
bt03-q05,4,あります,false
bt03-q06,1,おかけ,false
bt03-q06,2,お待ち,false
bt03-q06,3,いすに,false
bt03-q06,4,になって,true
bt03-q07,1,場合は,false
bt03-q07,2,おっしゃって,false
bt03-q07,3,近くの店員に,true
bt03-q07,4,見つからない,false
bt03-q08,1,西口に,true
bt03-q08,2,お集まり,false
bt03-q08,3,駅の,false
bt03-q08,4,までに,false
